Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
22/09/10,Lazio,Milan,1,1,D,0.0,0.0,D,11.0,13.0,6.0,3.0,12.0,17.0,5.0,9.0,0.0,1.0,0.0,0.0
22/09/10,Lecce,Parma,1,1,D,1.0,0.0,H,13.0,11.0,5.0,4.0,25.0,10.0,5.0,3.0,0.0,1.0,0.0,0.0
22/09/10,Napoli,Chievo,1,3,A,1.0,1.0,D,18.0,16.0,6.0,6.0,13.0,13.0,7.0,6.0,1.0,1.0,0.0,0.0
23/09/10,Juventus,Palermo,1,3,A,0.0,1.0,A,27.0,11.0,9.0,8.0,13.0,17.0,10.0,2.0,1.0,3.0,0.0,0.0
25/09/10,Milan,Genoa,1,0,H,0.0,0.0,D,13.0,8.0,5.0,2.0,17.0,18.0,1.0,5.0,1.0,2.0,0.0,0.0
25/09/10,Roma,Inter,1,0,H,0.0,0.0,D,17.0,25.0,4.0,4.0,19.0,17.0,4.0,6.0,4.0,4.0,0.0,0.0
26/09/10,Bari,Brescia,2,1,H,1.0,1.0,D,15.0,14.0,8.0,5.0,20.0,18.0,6.0,3.0,1.0,4.0,0.0,0.0
26/09/10,Catania,Bologna,1,1,D,0.0,1.0,A,16.0,5.0,4.0,3.0,13.0,21.0,9.0,2.0,1.0,3.0,0.0,0.0
26/09/10,Cesena,Napoli,1,4,A,0.0,0.0,D,11.0,21.0,2.0,11.0,14.0,23.0,3.0,14.0,2.0,0.0,0.0,0.0
26/09/10,Chievo,Lazio,0,1,A,0.0,0.0,D,7.0,15.0,1.0,4.0,19.0,11.0,7.0,6.0,5.0,3.0,0.0,0.0
26/09/10,Fiorentina,Parma,2,0,H,0.0,0.0,D,17.0,7.0,8.0,2.0,17.0,21.0,4.0,5.0,1.0,4.0,0.0,0.0
26/09/10,Juventus,Cagliari,4,2,H,2.0,1.0,H,15.0,12.0,6.0,4.0,18.0,17.0,4.0,5.0,3.0,0.0,0.0,0.0
26/09/10,Palermo,Lecce,2,2,D,0.0,1.0,A,19.0,10.0,10.0,3.0,13.0,29.0,10.0,4.0,2.0,4.0,0.0,1.0
26/09/10,Sampdoria,Udinese,0,0,D,0.0,0.0,D,7.0,13.0,2.0,2.0,14.0,18.0,7.0,2.0,1.0,2.0,0.0,0.0
02/10/10,Parma,Milan,0,1,A,0.0,1.0,A,7.0,18.0,3.0,10.0,15.0,22.0,4.0,5.0,2.0,5.0,0.0,0.0
02/10/10,Udinese,Cesena,1,0,H,0.0,0.0,D,18.0,3.0,6.0,0.0,17.0,22.0,8.0,1.0,2.0,2.0,0.0,0.0
03/10/10,Bologna,Sampdoria,1,1,D,0.0,1.0,A,18.0,10.0,6.0,4.0,16.0,17.0,7.0,5.0,2.0,1.0,0.0,0.0
03/10/10,Chievo,Cagliari,0,0,D,0.0,0.0,D,21.0,8.0,4.0,3.0,17.0,15.0,13.0,3.0,4.0,2.0,0.0,0.0
03/10/10,Fiorentina,Palermo,1,2,A,0.0,2.0,A,18.0,14.0,6.0,6.0,11.0,13.0,7.0,4.0,1.0,1.0,1.0,0.0
03/10/10,Genoa,Bari,2,1,H,1.0,0.0,H,29.0,7.0,7.0,3.0,12.0,16.0,4.0,0.0,2.0,3.0,1.0,0.0
03/10/10,Inter,Juventus,0,0,D,0.0,0.0,D,20.0,16.0,4.0,8.0,11.0,13.0,13.0,9.0,1.0,2.0,0.0,0.0
