Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
22/10/10,Hamburg,Bayern Munich,0,0,D,0,0,D,16,11,3,1,7,13,5,2,1,2,0,0
23/10/10,Ein Frankfurt,Schalke 04,0,0,D,0,0,D,17,5,1,2,11,19,8,5,2,1,0,0
23/10/10,Freiburg,Kaiserslautern,2,1,H,1,1,D,13,17,5,2,18,15,6,7,2,1,0,0
23/10/10,Hannover,FC Koln,2,1,H,2,0,H,8,9,4,2,15,18,3,11,1,1,0,0
23/10/10,M'gladbach,Werder Bremen,1,4,A,0,2,A,17,14,9,7,16,19,3,3,2,2,0,0
23/10/10,Nurnberg,Wolfsburg,2,1,H,1,1,D,17,8,4,2,12,15,4,4,1,3,0,0
24/10/10,Dortmund,Hoffenheim,1,1,D,0,1,A,17,9,4,5,8,31,8,3,1,3,0,1
24/10/10,Leverkusen,Mainz,0,1,A,0,0,D,16,10,2,4,16,20,9,3,0,1,0,0
24/10/10,Stuttgart,St Pauli,2,0,H,1,0,H,15,17,7,5,16,19,5,4,3,2,0,0
29/10/10,Bayern Munich,Freiburg,4,2,H,1,0,H,16,6,5,2,8,12,4,1,0,3,0,0
30/10/10,FC Koln,Hamburg,3,2,H,2,2,D,8,11,3,4,21,22,6,3,2,1,0,0
30/10/10,Kaiserslautern,M'gladbach,3,0,H,0,0,D,14,13,5,3,22,15,9,4,2,1,0,0
30/10/10,Schalke 04,Leverkusen,0,1,A,0,0,D,7,11,4,3,21,10,5,5,1,0,0,0
30/10/10,St Pauli,Ein Frankfurt,1,3,A,1,1,D,14,8,3,4,22,18,6,4,2,2,1,0
30/10/10,Werder Bremen,Nurnberg,2,3,A,1,1,D,12,17,6,8,23,15,4,2,2,2,0,0
30/10/10,Wolfsburg,Stuttgart,2,0,H,1,0,H,18,12,9,6,12,14,7,4,0,2,0,0
31/10/10,Hoffenheim,Hannover,4,0,H,1,0,H,18,5,7,2,10,15,4,2,1,1,0,1
31/10/10,Mainz,Dortmund,0,2,A,0,1,A,11,17,4,8,13,25,5,8,1,0,0,0
05/11/10,Schalke 04,St Pauli,3,0,H,1,0,H,13,6,6,0,15,11,5,3,1,2,0,0
06/11/10,Ein Frankfurt,Wolfsburg,3,1,H,2,0,H,15,13,8,7,18,25,3,4,1,2,0,0
06/11/10,Freiburg,Mainz,1,0,H,0,0,D,14,6,4,1,18,17,3,9,2,1,0,0
06/11/10,Hamburg,Hoffenheim,2,1,H,1,1,D,18,13,2,6,15,27,8,6,1,4,0,0
06/11/10,M'gladbach,Bayern Munich,3,3,D,1,2,A,9,16,4,6,14,8,2,9,1,0,0,0
06/11/10,Nurnberg,FC Koln,3,1,H,2,1,H,20,7,6,4,8,15,13,7,1,1,0,0
07/11/10,Hannover,Dortmund,0,4,A,0,1,A,7,19,2,13,18,10,2,4,0,2,1,0
07/11/10,Leverkusen,Kaiserslautern,3,1,H,1,1,D,25,12,7,4,14,20,6,2,1,3,0,0
07/11/10,Stuttgart,Werder Bremen,6,0,H,3,0,H,16,11,12,4,10,15,5,7,1,0,0,0
12/11/10,Dortmund,Hamburg,2,0,H,0,0,D,11,7,4,1,22,17,4,0,0,1,0,0
13/11/10,FC Koln,M'gladbach,0,4,A,0,0,D,17,19,3,4,16,19,6,7,0,2,0,0
13/11/10,Kaiserslautern,Stuttgart,3,3,D,0,2,A,16,12,5,7,17,18,3,4,3,2,0,0
13/11/10,Mainz,Hannover,0,1,A,0,1,A,12,12,2,5,14,22,3,7,0,1,0,1
13/11/10,St Pauli,Leverkusen,0,1,A,0,0,D,8,23,1,8,22,16,1,3,3,4,0,0
13/11/10,Werder Bremen,Ein Frankfurt,0,0,D,0,0,D,18,13,7,1,14,9,10,3,1,1,0,0
13/11/10,Wolfsburg,Schalke 04,2,2,D,2,1,H,17,13,4,5,12,20,7,7,2,3,1,0
14/11/10,Bayern Munich,Nurnberg,3,0,H,1,0,H,13,12,7,2,16,9,3,2,1,1,0,0
14/11/10,Hoffenheim,Freiburg,0,1,A,0,0,D,12,10,7,3,16,20,3,6,0,1,0,0
20/11/10,Ein Frankfurt,Hoffenheim,0,4,A,0,1,A,8,18,3,9,12,21,2,6,4,4,0,0
20/11/10,Freiburg,Dortmund,1,2,A,1,0,H,9,18,2,8,8,10,3,6,0,1,0,0
20/11/10,Hannover,Hamburg,3,2,H,1,1,D,14,11,5,4,18,20,6,4,2,4,0,0
20/11/10,Leverkusen,Bayern Munich,1,1,D,1,1,D,17,8,8,1,23,14,4,5,2,2,0,0
20/11/10,M'gladbach,Mainz,2,3,A,0,0,D,8,16,4,8,20,13,3,4,1,1,0,0
20/11/10,Nurnberg,Kaiserslautern,1,3,A,0,3,A,18,10,6,7,12,18,8,4,1,3,0,1
20/11/10,Schalke 04,Werder Bremen,4,0,H,2,0,H,14,10,8,2,19,14,8,2,1,1,0,1
21/11/10,St Pauli,Wolfsburg,1,1,D,1,0,H,18,3,5,2,14,27,2,4,0,3,0,0
21/11/10,Stuttgart,FC Koln,0,1,A,0,0,D,20,18,5,8,16,15,10,9,4,3,0,0
26/11/10,Mainz,Nurnberg,3,0,H,1,0,H,10,13,4,3,17,15,1,4,4,2,0,0
27/11/10,Bayern Munich,Ein Frankfurt,4,1,H,1,1,D,25,8,8,4,11,11,15,7,1,0,0,0
27/11/10,Dortmund,M'gladbach,4,1,H,1,1,D,22,8,8,4,15,13,7,1,1,1,0,0
27/11/10,Hamburg,Stuttgart,4,2,H,3,1,H,15,14,8,3,9,16,6,7,2,3,0,1
27/11/10,Hannover,Freiburg,3,0,H,1,0,H,12,13,8,2,18,15,7,4,0,1,0,0
27/11/10,Hoffenheim,Leverkusen,2,2,D,1,2,A,15,7,6,2,18,19,5,2,1,3,0,0
27/11/10,Kaiserslautern,Schalke 04,5,0,H,2,0,H,15,6,8,3,19,16,8,2,3,2,0,0
28/11/10,FC Koln,Wolfsburg,1,1,D,0,0,D,13,11,3,1,10,16,3,2,2,2,0,0
28/11/10,Werder Bremen,St Pauli,3,0,H,2,0,H,14,16,8,4,14,16,5,10,2,0,1,1
03/12/10,St Pauli,Kaiserslautern,1,0,H,0,0,D,16,12,6,4,11,15,2,3,1,3,0,0
04/12/10,Ein Frankfurt,Mainz,2,1,H,1,1,D,15,10,4,2,21,27,2,5,0,2,0,0
04/12/10,Freiburg,Hamburg,1,0,H,1,0,H,10,12,4,6,16,15,8,4,1,0,0,0
04/12/10,M'gladbach,Hannover,1,2,A,1,0,H,15,12,3,4,11,17,1,3,2,1,1,0
04/12/10,Schalke 04,Bayern Munich,2,0,H,0,0,D,12,17,4,5,13,7,4,9,0,1,0,0
04/12/10,Stuttgart,Hoffenheim,1,1,D,1,1,D,19,11,5,7,18,19,4,2,3,2,0,1
04/12/10,Wolfsburg,Werder Bremen,0,0,D,0,0,D,11,15,4,7,19,16,2,7,3,1,0,0
05/12/10,Leverkusen,FC Koln,3,2,H,1,1,D,11,14,5,5,9,19,5,0,1,1,0,0
05/12/10,Nurnberg,Dortmund,0,2,A,0,1,A,7,16,1,7,13,17,3,6,2,2,0,0
10/12/10,Hannover,Stuttgart,2,1,H,1,0,H,16,22,8,3,15,18,5,3,2,3,0,0
11/12/10,Bayern Munich,St Pauli,3,0,H,1,0,H,22,9,10,1,13,21,13,4,0,1,0,1
11/12/10,Dortmund,Werder Bremen,2,0,H,1,0,H,11,8,5,2,20,22,3,5,2,5,0,0
11/12/10,FC Koln,Ein Frankfurt,1,0,H,0,0,D,10,14,5,3,20,14,7,6,5,3,0,0
11/12/10,Hamburg,Leverkusen,2,4,A,0,1,A,8,16,3,8,23,18,3,4,3,3,0,0
11/12/10,Hoffenheim,Nurnberg,1,1,D,0,0,D,19,11,4,4,18,23,11,5,1,3,0,0
11/12/10,Kaiserslautern,Wolfsburg,0,0,D,0,0,D,18,5,2,0,15,16,5,0,1,3,0,0
12/12/10,Freiburg,M'gladbach,3,0,H,2,0,H,22,14,8,6,14,14,7,2,1,2,0,0
12/12/10,Mainz,Schalke 04,0,1,A,0,1,A,7,10,4,2,11,20,1,10,3,2,0,0
17/12/10,M'gladbach,Hamburg,1,2,A,0,0,D,18,15,8,9,12,11,5,8,1,0,0,0
18/12/10,Ein Frankfurt,Dortmund,1,0,H,0,0,D,12,9,4,1,18,14,3,8,2,2,0,0
18/12/10,Nurnberg,Hannover,3,1,H,2,0,H,19,5,9,1,24,23,6,3,1,4,0,0
18/12/10,Schalke 04,FC Koln,3,0,H,1,0,H,16,6,6,1,10,13,6,6,0,1,0,0
18/12/10,St Pauli,Mainz,2,4,A,1,3,A,14,20,6,7,21,18,11,8,2,1,0,0
18/12/10,Werder Bremen,Kaiserslautern,1,2,A,1,1,D,22,17,5,7,16,15,8,2,2,2,1,1
18/12/10,Wolfsburg,Hoffenheim,2,2,D,0,2,A,13,15,5,7,22,15,4,3,2,1,0,0
19/12/10,Leverkusen,Freiburg,2,2,D,1,1,D,14,8,6,4,17,15,3,1,3,1,0,0
19/12/10,Stuttgart,Bayern Munich,3,5,A,0,3,A,12,10,7,9,20,16,3,4,3,1,0,0
14/01/11,Leverkusen,Dortmund,1,3,A,0,0,D,12,11,3,5,11,18,6,7,2,1,0,0
15/01/11,Nurnberg,M'gladbach,0,1,A,0,1,A,17,6,4,3,16,29,6,3,1,3,0,0
15/01/11,Schalke 04,Hamburg,0,1,A,0,0,D,10,9,1,3,26,12,7,5,3,3,0,0
15/01/11,St Pauli,Freiburg,2,2,D,1,0,H,11,9,6,7,15,20,5,3,1,1,0,0
15/01/11,Stuttgart,Mainz,1,0,H,0,0,D,7,16,2,4,20,14,6,7,1,2,0,0
15/01/11,Werder Bremen,Hoffenheim,2,1,H,1,0,H,12,8,4,2,24,19,8,4,3,2,0,0
15/01/11,Wolfsburg,Bayern Munich,1,1,D,0,1,A,10,14,4,6,16,16,5,9,2,2,0,0
16/01/11,Ein Frankfurt,Hannover,0,3,A,0,2,A,12,16,4,6,13,26,5,5,1,1,0,0
16/01/11,Kaiserslautern,FC Koln,1,1,D,0,1,A,15,14,4,3,18,24,10,4,1,6,1,0
21/01/11,Hamburg,Ein Frankfurt,1,0,H,0,0,D,9,6,4,1,13,15,6,4,0,0,0,0
22/01/11,Bayern Munich,Kaiserslautern,5,1,H,1,0,H,19,13,9,6,8,11,6,5,0,3,0,0
22/01/11,Dortmund,Stuttgart,1,1,D,1,0,H,18,7,7,3,9,8,8,6,0,2,0,0
22/01/11,FC Koln,Werder Bremen,3,0,H,2,0,H,11,3,5,1,11,25,7,3,3,2,0,0
22/01/11,Freiburg,Nurnberg,1,1,D,1,0,H,6,11,2,2,21,13,4,5,0,1,0,0
22/01/11,Hannover,Schalke 04,0,1,A,0,1,A,11,11,4,4,11,21,4,5,1,2,0,0
22/01/11,Mainz,Wolfsburg,0,1,A,0,0,D,14,8,3,2,16,23,3,5,1,1,0,0
23/01/11,Hoffenheim,St Pauli,2,2,D,1,0,H,10,14,4,5,25,16,4,4,1,1,0,0
23/01/11,M'gladbach,Leverkusen,1,3,A,0,2,A,16,8,6,4,19,15,3,1,1,1,0,0
28/01/11,Leverkusen,Hannover,2,0,H,2,0,H,11,9,6,3,18,12,5,3,0,0,0,0
29/01/11,Kaiserslautern,Mainz,0,1,A,0,1,A,17,12,6,5,15,16,6,3,1,0,0,0
29/01/11,Nurnberg,Hamburg,2,0,H,0,0,D,17,7,7,1,18,20,6,3,1,2,0,1
29/01/11,Schalke 04,Hoffenheim,0,1,A,0,1,A,10,16,1,5,19,16,9,4,2,1,0,0
29/01/11,St Pauli,FC Koln,3,0,H,2,0,H,30,3,10,2,16,16,11,2,0,4,0,0
29/01/11,Werder Bremen,Bayern Munich,1,3,A,0,0,D,9,17,4,6,21,18,7,4,2,2,1,0
29/01/11,Wolfsburg,Dortmund,0,3,A,0,2,A,9,17,2,8,18,12,4,3,2,2,0,0
30/01/11,Ein Frankfurt,M'gladbach,0,1,A,0,0,D,17,16,2,7,7,18,4,4,0,2,0,0
30/01/11,Stuttgart,Freiburg,0,1,A,0,1,A,15,9,4,3,10,20,9,3,0,2,0,0
